Trade Id,Product Description,Product Type,Sub Type,Product Extendedtype,Nominal,Trade Currency,Book,CounterParty,TradeStatus,Trade Date,Trade Settle Date,Trader,Entered User,External Reference,Trade Price,Quantity,Notional,InternalRef
698212,FX/USD/TZS,FX,FX,None,-14797200,TZS,FX_Branch_Overs,TZ_FX_RETAIL,VERIFIED_INTERNAL,"Dec 02, 2025 04:34 PM",04 December 2025,NONE,admin,,2466.2,6000,67890,698212_TZS
698211,FX/USD/TZS,FX,FX,None,-6000,TZS,TZ_FX_Interbank,BANK OF TANZANIA,VERIFIED,"Dec 02, 2025 04:32 PM",04 December 2025,NONE,admin,,2469.135802,2.43,67890,698211_TZS
698210,FX/USD/TZS,FX,FX,None,-22195800,TZS,TZ_FX_Interbank,BANK OF TANZANIA,VERIFIED,"Dec 02, 2025 02:51 PM",04 December 2025,NONE,admin,,2466.2,9000,67890,698210_TZS
698209,FX/USD/TZS,FX,FX,None,-22195800,TZS,TZ_FX_Interbank,BANK OF TANZANIA,VERIFIED,"Dec 02, 2025 02:00 PM",04 December 2025,NONE,admin,,2466.2,9000,67890,698209_TZS
698198,FX/USD/TZS,FX,FX,None,-2000,TZS,TZ_FX_Interbank,BANK OF TANZANIA,VERIFIED,"Dec 02, 2025 01:32 PM",04 December 2025,NONE,admin,,2469.135802,0.81,67890,698198_TZS
698092,FXForward/USD/TZS,FXForward,FXForward,None,-1023473000,TZS,TZ_FX_Corporate,NORTH MARA GOLD MINE LIMITED,VERIFIED,"Dec 02, 2025 10:03 AM",02 December 2025,Rdmlangwa,rdmlangwa,,2466.2,415000,67890,698092_TZS
698087,FXForward/USD/TZS,FXForward,FXForward,None,715198000,TZS,TZ_FX_Corporate,TANGA CEMENT PLC,VERIFIED,"Dec 02, 2025 10:03 AM",02 December 2025,Rdmlangwa,rdmlangwa,,2466.2,-290000,67890,698087_TZS
698083,FXForward/USD/TZS,FXForward,FXForward,None,-863170000,TZS,TZ_FX_Interbank,NCBA BANK TANZANIA LTD,VERIFIED,"Dec 02, 2025 10:03 AM",02 December 2025,Rdmlangwa,rdmlangwa,,2466.2,350000,67890,698083_TZS
698080,FXForward/KES/TZS,FXForward,FXForward,None,3810280,TZS,TZ_FX_Interbank,BANK OF AFRICA (T) LIMITED,VERIFIED,"Dec 02, 2025 10:03 AM",02 December 2025,Rdmlangwa,rdmlangwa,,19.0514,-200000,67890,698080_TZS
698076,FXForward/USD/TZS,FXForward,FXForward,None,295944000,TZS,TZ_FX_Interbank,NCBA BANK TANZANIA LTD,VERIFIED,"Dec 02, 2025 10:03 AM",02 December 2025,Rdmlangwa,rdmlangwa,,2466.2,-120000,67890,698076_TZS
698054,FX/USD/TZS,FX,FX,None,-22195800,TZS,TZ_FX_Interbank,BANK OF TANZANIA,VERIFIED,"Dec 01, 2025 05:13 PM",03 December 2025,NONE,admin,,2466.2,9000,67890,698054_TZS
698047,FX/USD/TZS,FX,FX,None,-7398600000,TZS,TZ_FX_Interbank,BANK OF TANZANIA,VERIFIED,"Dec 01, 2025 05:06 PM",03 December 2025,NONE,admin,,2466.2,3000000,67890,698047_TZS
698046,FX/USD/TZS,FX,FX,None,-22195800,TZS,TZ_FX_Interbank,BANK OF TANZANIA,VERIFIED,"Dec 01, 2025 05:03 PM",03 December 2025,NONE,admin,,2466.2,9000,67890,698046_TZS
698041,FX/USD/TZS,FX,FX,None,-3000000,TZS,TZ_FX_Interbank,BANK OF TANZANIA,VERIFIED,"Dec 01, 2025 04:43 PM",03 December 2025,NONE,admin,,2466.19261,1216.45,67890,698041_TZS
698038,FXForward/USD/TZS,FXForward,FXForward,None,-986480000,TZS,TZ_FX_Corporate,NORTH MARA GOLD MINE LIMITED,VERIFIED,"Dec 01, 2025 04:08 PM",01 December 2025,Rdmlangwa,rdmlangwa,,2466.2,400000,67890,698038_TZS
698033,FXForward/USD/TZS,FXForward,FXForward,None,-986480000,TZS,TZ_FX_Interbank,NORTH MARA GOLD MINE LIMITED,PENDING,"Dec 01, 2025 04:05 PM",01 December 2025,Rdmlangwa,rdmlangwa,,2466.2,400000,67890,698033_TZS
698028,FXForward/USD/TZS,FXForward,FXForward,None,690536000,TZS,TZ_FX_Corporate,TANGA CEMENT PLC,VERIFIED,"Dec 01, 2025 04:05 PM",01 December 2025,Rdmlangwa,rdmlangwa,,2466.2,-280000,67890,698028_TZS
698027,FXForward/USD/TZS,FXForward,FXForward,None,739860000,TZS,TZ_FX_Interbank,NCBA BANK TANZANIA LTD,VERIFIED,"Dec 01, 2025 04:05 PM",01 December 2025,Rdmlangwa,rdmlangwa,,2466.2,-300000,67890,698027_TZS
698026,FXForward/USD/TZS,FXForward,FXForward,None,616550000,TZS,TZ_FX_Interbank,BANK OF AFRICA (T) LIMITED,VERIFIED,"Dec 01, 2025 04:05 PM",01 December 2025,Rdmlangwa,rdmlangwa,,2466.2,-250000,67890,698026_TZS
698022,FXForward/USD/TZS,FXForward,FXForward,None,246620000,TZS,TZ_FX_Interbank,NCBA BANK TANZANIA LTD,VERIFIED,"Dec 01, 2025 04:05 PM",01 December 2025,Rdmlangwa,rdmlangwa,,2466.2,-100000,67890,698022_TZS
